"","event","secondary_type","event_team","event_team_type","description","period","period_seconds","home_score","away_score","event_player_1_name","event_player_2_name","strength_state","strength_code","event_idx","x","y","x_fixed","y_fixed","shot_distance","shot_angle","game_id","event_player_1_id","event_player_2_id","event_player_2_link","period_type","event_team_id","event_team_abbr","home_final","away_final","season","venue_name","home_abbreviation","away_abbreviation","home_goalie","away_goalie"
"462","Goal","Penalty Shot","Montréal Canadiens","home","Laurent Dauphin (2) Backhand, assists: none",3,842,4,5,"Laurent.Dauphin","Anthony.Stolarz","5v5","EV","0526",-81,0,81,0,8,0,2021020757,8477460,8476932,"/api/v1/people/8476932","REGULAR",8,"MTL",4,5,"20212022","Centre Bell","MTL","ANA","Sam.Montembeault","Anthony.Stolarz"
"463","Shot","Penalty Shot","Tampa Bay Lightning","home","Anthony Cirelli Backhand saved by Jon Gillies",2,830,1,1,"Anthony.Cirelli","Jon.Gillies","4v5","SH","0337",-82,4,82,-4,8.1,29.7,2021020759,8478519,8476903,"/api/v1/people/8476903","REGULAR",14,"TBL",3,2,"20212022","Amalie Arena","TBL","NJD","Andrei.Vasilevskiy","Jon.Gillies"
"464","Shot","Penalty Shot","Minnesota Wild","away","Frederick Gaudreau Backhand saved by Igor Shesterkin",2,176,2,0,"Frederick.Gaudreau","Igor.Shesterkin","5v5","EV","0230",-84,-5,-84,-5,7.1,45,2021020767,8477919,8478048,"/api/v1/people/8478048","REGULAR",30,"MIN",2,3,"20212022","Madison Square Garden","NYR","MIN","Igor.Shesterkin","Cam.Talbot"
"465","Shot","Penalty Shot","Calgary Flames","home","Johnny Gaudreau Wrist Shot saved by Thatcher Demko",2,862,0,0,"Johnny.Gaudreau","Thatcher.Demko","5v5","EV","0379",69,-1,69,-1,20,2.9,2021020781,8476346,8477967,"/api/v1/people/8477967","REGULAR",20,"CGY",1,0,"20212022","Scotiabank Saddledome","CGY","VAN","Jacob.Markstrom","Thatcher.Demko"
"466","Goal","Penalty Shot","Vancouver Canucks","home","J.T. Miller (20) Wrist Shot, assists: none",2,1195,5,0,"J.T..Miller","Dan.Vladar","5v5","EV","0521",84,2,84,2,5.4,21.8,2021020820,8476468,8478435,"/api/v1/people/8478435","REGULAR",23,"VAN",7,1,"20212022","Rogers Arena","VAN","CGY","Thatcher.Demko","Dan.Vladar"
"467","Shot","Penalty Shot","Winnipeg Jets","away","Mark Scheifele Wrist Shot saved by Scott Wedgewood",3,457,3,4,"Mark.Scheifele","Scott.Wedgewood","5v5","EV","0671",-78,2,-78,2,11.2,10.3,2021020844,8476460,8475809,"/api/v1/people/8475809","REGULAR",52,"WPG",3,5,"20212022","Gila River Arena","ARI","WPG","Scott.Wedgewood","Eric.Comrie"
"468","Shot","Penalty Shot","Montréal Canadiens","away","Rem Pitlick Wrist Shot saved by Connor Hellebuyck",2,1019,4,4,"Rem.Pitlick","Connor.Hellebuyck","4v5","SH","0462",-71,0,-71,0,18,0,2021020856,8479514,8476945,"/api/v1/people/8476945","REGULAR",8,"MTL",8,4,"20212022","Canada Life Centre","WPG","MTL","Connor.Hellebuyck","Sam.Montembeault"
"469","Shot","Penalty Shot","Winnipeg Jets","home","Nikolaj Ehlers Wrist Shot saved by Linus Ullmark",1,284,0,0,"Nikolaj.Ehlers","Linus.Ullmark","5v5","EV","0073",-79,-6,79,6,11.7,31,2021020979,8477940,8476999,"/api/v1/people/8476999","REGULAR",52,"WPG",2,4,"20212022","Canada Life Centre","WPG","BOS","Connor.Hellebuyck","Linus.Ullmark"
"470","Shot","Penalty Shot","Calgary Flames","home","Johnny Gaudreau Wrist Shot saved by James Reimer",2,899,3,1,"Johnny.Gaudreau","James.Reimer","5v5","EV","0462",67,-1,67,-1,22,2.6,2021021012,8476346,8473503,"/api/v1/people/8473503","REGULAR",20,"CGY",3,4,"20212022","Scotiabank Saddledome","CGY","SJS","Jacob.Markstrom","James.Reimer"
"471","Shot","Penalty Shot","Dallas Stars","away","Michael Raffl Backhand saved by Frederik Andersen",3,849,3,3,"Michael.Raffl","Frederik.Andersen","5v5","EV","0695",85,-5,-85,5,6.4,51.3,2021021022,8477290,8475883,"/api/v1/people/8475883","REGULAR",25,"DAL",3,3,"20212022","PNC Arena","CAR","DAL","Frederik.Andersen","Scott.Wedgewood"
"472","Shot","Penalty Shot","Ottawa Senators","away","Connor Brown Wrist Shot saved by Juuse Saros",2,1192,2,1,"Connor.Brown","Juuse.Saros","4v5","SH","0548",69,0,-69,0,20,0,2021021064,8477015,8477424,"/api/v1/people/8477424","REGULAR",9,"OTT",4,1,"20212022","Bridgestone Arena","NSH","OTT","Juuse.Saros","Anton.Forsberg"
"473","Missed Shot","Penalty Shot","Colorado Avalanche","away","J.T. Compher Wide of Net Connor Hellebuyck",2,1038,2,3,"J.T..Compher","Connor.Hellebuyck","5v5","EV","0485",-78,-4,-78,-4,11.7,20,2021021141,8477456,8476945,"/api/v1/people/8476945","REGULAR",21,"COL",4,5,"20212022","Canada Life Centre","WPG","COL","Connor.Hellebuyck","Pavel.Francouz"
"474","Goal","Penalty Shot","Montréal Canadiens","home","Nick Suzuki (11) Wrist Shot, assists: none",2,357,2,0,"Nick.Suzuki","Craig.Anderson","4v4","EV","0363",79,-1,79,-1,10,5.7,2021021273,8480018,8467950,"/api/v1/people/8467950","REGULAR",8,"MTL",4,0,"20212022","Centre Bell","MTL","BUF","Sam.Montembeault","Craig.Anderson"
